id,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2],author_Inasaka,author_Janssen,author_Kossolapov,author_Mortimore,author_Peskov,author_Richenderfer,author_Thompson,author_Weatherhead,author_Williams,geometry_plate,geometry_tube
21,13.79,2854.4,-0.0579,1.9,1.9,152.0,4.7,0,0,0,0,0,0,1,0,0,0,1
22,13.79,2055.0,-0.0124,11.1,11.1,457.0,3.6,0,0,0,0,0,0,0,1,0,0,1
23,15.51,1355.0,,5.6,15.2,2134.0,2.1,0,0,0,0,0,0,0,0,0,0,0
24,11.038,2143.0,0.0332,7.8,7.8,531.8,2.9,0,0,0,0,0,0,1,0,0,0,1
25,13.79,6198.0,-0.137,4.7,4.7,318.0,9.2,0,0,0,0,0,0,1,0,0,0,1
26,18.96,2685.2,-0.246,1.9,1.9,152.0,4.0,0,0,0,0,0,0,1,0,0,0,1
27,13.79,2055.0,,11.1,11.1,457.0,3.5,0,0,0,0,0,0,0,1,0,0,1
28,13.79,2061.0,-0.0276,7.8,7.8,591.0,2.1,0,0,0,0,0,0,1,0,0,0,1
29,13.79,2055.0,-0.0638,7.7,7.7,457.0,4.9,0,0,0,0,0,0,0,1,0,0,1
30,9.68,5615.0,0.0196,12.7,38.1,914.0,2.9,0,1,0,0,0,0,0,0,0,0,0
31,12.0,1408.0,0.1103,10.0,10.0,1650.0,1.4,0,0,0,0,0,0,1,0,0,0,1
32,13.79,933.0,-0.1005,7.8,7.8,591.0,2.3,0,0,0,0,0,0,1,0,0,0,1
33,4.96,4136.0,-0.0668,5.6,5.6,432.0,3.5,0,0,0,0,0,0,1,0,0,0,1
34,13.79,1275.0,,8.65351919561243,14.764067574795769,591.0,2.4,0,0,0,0,0,0,1,0,0,0,1
35,13.79,1926.0,0.0253,8.65351919561243,14.764067574795769,457.0,2.4,0,0,0,0,0,0,0,1,0,0,1
36,13.79,1655.0,,7.7,7.7,457.0,3.8,0,0,0,0,0,0,1,0,0,0,1
37,8.282,1519.0,0.0052,12.7,51.314406244737526,1778.0,3.3,0,1,0,0,0,0,0,0,0,0,0
38,13.79,1482.0,0.0465,4.7,4.7,318.0,2.8,0,0,0,0,0,0,1,0,0,0,1
39,13.79,5588.0,,5.7,5.7,625.0,3.3,0,0,0,0,0,0,1,0,0,0,1
40,12.07,6200.0,-0.0692,3.0,3.0,100.0,8.0,1,0,0,0,0,0,0,0,0,0,1
41,13.789999999999997,1356.0,0.1275,7.7,7.7,457.0,1.4,0,0,0,0,0,0,1,0,0,0,1
42,11.03,4069.0,-0.0263,9.3,9.3,762.0,5.0,0,0,0,0,0,0,1,0,0,0,1
43,18.96,2699.0,,1.9,1.9,696.0,2.2,0,0,0,0,0,0,1,0,0,0,1
44,15.51,2197.0,,1.9,1.9,696.0,2.5,0,0,0,0,0,0,1,0,0,0,1
45,10.34,6049.0,,10.3,10.3,762.0,10.8,0,0,0,0,0,0,1,0,0,0,1
46,6.89,3987.0,-0.0601,10.3,10.3,2179.6,3.9,0,0,0,0,0,0,1,0,0,0,1
47,11.03,3391.0,0.0406,11.5,11.5,914.0,1.6,0,0,0,0,0,0,1,0,0,0,1
48,13.79,1021.0,0.0145,7.7,7.7,457.0,2.4,0,0,0,0,0,0,1,0,0,0,1
49,12.376,3677.0,0.0409,5.6,15.2,2134.0,1.3,0,0,0,0,0,0,1,0,0,0,0
50,11.866,1356.0,,7.7,7.7,1398.0,2.6,0,0,0,0,0,0,1,0,0,0,1
51,17.24,3065.0,-0.1334,1.9,1.9,369.6,3.5,0,0,0,0,0,0,1,0,0,0,1
52,6.89,5778.0,-0.0251,10.3,10.3,762.0,5.9,0,0,0,0,0,0,1,0,0,0,1
53,11.03,3750.0,0.1716,5.6,15.2,2134.0,1.2,0,0,0,0,0,0,0,0,0,0,0
54,6.89,3854.2,0.0633,10.8,10.8,864.0,2.2,0,0,0,0,0,0,1,0,0,0,1
55,6.86,4069.0,0.0763,10.8,10.8,864.0,3.5,0,0,0,0,0,0,1,0,0,0,1
56,18.27,833.0,,3.0,3.0,150.0,7.1,0,0,0,0,0,0,1,0,0,0,1
57,15.17,1335.0,,9.5,9.5,1836.0,2.9,0,0,0,0,0,0,0,0,1,0,1
58,13.79,4123.0,-0.1044,4.7,4.7,318.0,6.8,0,0,0,0,0,0,1,0,0,0,1
59,3.45,5479.0,0.0883,8.65351919561243,14.764067574795769,762.0,7.9,0,0,0,0,0,0,1,0,0,0,1
60,13.789999999999997,6022.0,,8.65351919561243,14.764067574795769,318.0,2.5,0,0,0,0,0,0,1,0,0,0,1
61,6.89,7785.0,-0.0008,8.65351919561243,14.764067574795769,1178.0,4.7,0,0,0,0,0,0,1,0,0,0,1
62,13.79,1736.0,,8.65351919561243,14.764067574795769,591.0,2.0,0,0,0,0,0,0,1,0,0,0,1
63,6.89,5533.0,0.0063,12.7,38.1,737.0,3.5,0,1,0,0,0,0,0,0,0,0,0
64,6.89,5533.0,-0.0251,8.65351919561243,14.764067574795769,762.0,7.5,0,0,0,0,0,0,1,0,0,0,1
65,13.79,6388.0,-0.112,8.65351919561243,14.764067574795769,318.0,5.1,0,0,0,0,0,0,1,0,0,0,1
66,8.266,2034.0,-0.0263,8.65351919561243,14.764067574795769,762.0,5.0,0,0,0,0,0,0,1,0,0,0,1
67,6.89,5588.0,-0.0157,6.4,15.9,914.0,5.8,0,1,0,0,0,0,0,0,0,0,0
68,13.79,1356.0,,3.0,3.0,150.0,1.8,0,0,0,0,0,0,1,0,0,0,1
69,13.789999999999997,6212.0,-0.1392,4.7,4.7,318.0,3.5,0,0,0,0,0,0,1,0,0,0,1
70,11.03,679.0,,5.0,13.3,1564.6,1.1,0,0,0,0,0,0,1,0,0,0,0
71,12.07,2577.0,-0.0458,8.65351919561243,14.764067574795769,696.0,2.9,0,0,0,0,0,0,1,0,0,0,1
72,13.79,2817.4,0.0656,4.7,4.7,318.0,1.9,0,0,0,0,0,0,1,0,0,0,1
73,15.169999999999998,3608.0,0.1261,4.7,4.7,318.0,2.7,0,0,0,0,0,0,1,0,0,0,1
74,6.89,1912.0,,12.8,12.8,1930.0,3.2,0,0,0,0,0,0,1,0,0,0,1
75,6.93,3838.0,,10.8,10.8,864.0,6.6,0,0,0,0,0,0,1,0,0,0,1
76,6.89,6618.0,,10.3,10.3,794.0,6.7,0,0,0,0,0,0,1,0,0,0,1
77,13.79,679.0,0.1601,5.0,20.202522143597452,2134.0,1.6,0,0,0,1,0,0,0,0,0,0,0
78,13.79,2712.0,,7.7,7.7,457.0,3.9,0,0,0,0,0,0,1,0,0,0,1
79,6.86,4096.0,-0.0412,10.8,10.8,432.0,6.5,0,0,0,0,0,0,1,0,0,0,1
80,6.89,2278.0,0.1946,8.5,22.3,2743.0,2.0,0,0,0,0,0,0,1,0,0,0,0
81,9.0,4069.0,,11.5,11.5,864.0,2.8,0,0,0,0,0,0,1,0,0,0,1
82,10.34,4842.0,-0.1205,10.3,10.3,762.0,4.7,0,0,0,0,0,0,1,0,0,0,1
83,13.79,4367.0,-0.0358,4.7,4.7,305.0,4.5,0,0,0,0,0,0,1,0,0,0,1
84,13.79,1349.0,0.0455,11.1,11.1,457.0,2.9,0,0,0,0,0,0,1,0,0,0,1
85,11.03,2729.0,,5.6,22.626824800829144,2134.0,1.6,0,0,0,0,0,0,0,0,0,0,0
86,11.572,4055.0,-0.0028,10.0,10.0,660.0,5.6,0,0,0,0,1,0,0,0,0,0,1
87,6.89,3341.6,-0.1342,37.5,37.5,1953.0,3.8,0,0,0,0,0,0,1,0,0,0,1
88,10.34,6539.8,-0.0497,10.3,10.3,762.0,5.9,0,0,0,0,0,0,1,0,0,0,1
89,8.964,5642.0,-0.363,3.6,3.6,76.0,4.8,0,0,0,0,0,0,1,0,0,0,1
90,18.0,5361.0,-0.068,10.0,10.0,660.0,2.8,0,0,0,0,1,0,0,0,0,0,1
91,15.169999999999998,4062.0,0.1536,9.5,9.5,1836.0,1.8,0,0,0,0,0,0,0,0,1,0,1
92,13.79,1298.0,0.0845,7.8,7.8,591.0,1.5,0,0,0,0,0,0,1,0,0,0,1
93,6.89,5479.0,,23.6,23.6,1972.0,3.9,0,0,0,0,0,0,1,0,0,0,1
94,13.79,2116.0,0.0305,7.8,7.8,591.0,3.9,0,0,0,0,0,0,1,0,0,0,1
95,6.89,4069.0,,10.8,10.8,432.0,2.3,0,0,0,0,0,0,1,0,0,0,1
96,6.79,1763.0,0.033,10.8,10.8,432.0,4.4,0,0,0,0,0,0,1,0,0,0,1
97,6.89,3052.0,,22.2,96.3,2036.4,2.3,0,1,0,0,0,0,0,0,0,0,0
98,7.0,3770.0,0.0197,10.8,10.8,864.0,5.7,0,0,0,0,0,0,1,0,0,0,1
99,6.89,1356.0,,23.6,23.6,1972.0,2.5,0,0,0,0,0,0,1,0,0,0,1
100,11.441999999999998,1492.0,-0.1208,8.65351919561243,14.764067574795769,35.0,2.9,0,0,0,0,0,0,1,0,0,0,1
101,9.68,5615.0,0.0477,6.4,15.9,1008.0,1.7,0,1,0,0,0,0,0,0,0,0,0
102,13.789999999999997,3678.0,0.0238,5.6,22.626824800829144,2134.0,1.6,0,0,0,0,0,0,0,0,0,0,0
103,13.789999999999997,7025.0,-0.0373,4.7,4.7,318.0,3.4,0,0,0,0,0,0,1,0,0,0,1
104,18.27,815.0,-0.1258,8.65351919561243,14.764067574795769,150.0,1.3,0,0,0,0,0,0,1,0,0,0,1
105,15.51,3743.0,0.001,1.9,1.9,152.0,1.9,0,0,0,0,0,0,1,0,0,0,1
106,13.79,671.0,0.1476,7.7,7.7,457.0,1.6,0,0,0,0,0,0,1,0,0,0,1
107,0.31,3513.0,-0.0668,5.6,5.6,216.0,5.6,0,0,0,0,0,0,1,0,0,0,1
108,0.1,2000.0,-0.0093,15.0,120.0,10.0,7.0,0,0,0,0,0,1,0,0,0,1,0
109,11.0,4056.0,0.0436,9.3,9.3,1727.0,3.5,0,0,0,0,0,0,1,0,0,0,1
110,4.13,4310.0,0.0823,8.65351919561243,14.764067574795769,864.0,4.6,0,0,0,0,0,0,1,0,0,0,1
111,13.79,2997.0,-0.0298,7.8,7.8,591.0,4.9,0,0,0,0,0,0,1,0,0,0,1
112,12.07,2102.0,,8.65351919561243,14.764067574795769,696.0,2.2,0,0,0,0,0,0,1,0,0,0,1
113,8.96,2034.0,0.0656,11.5,11.5,1524.0,4.4,0,0,0,0,0,0,1,0,0,0,1
114,3.45,6049.0,0.0874,10.3,10.3,762.0,6.6,0,0,0,0,0,0,1,0,0,0,1
115,13.79,1682.0,0.0145,7.7,7.7,457.0,2.0,0,0,0,0,0,0,1,0,0,0,1
116,10.34,5506.0,,10.8,10.8,762.0,5.5,0,0,0,0,0,0,1,0,0,0,1
117,13.79,2817.4,-0.0438,4.7,4.7,318.0,4.5,0,0,0,0,0,0,1,0,0,0,1
118,12.0,2217.0,-0.03,10.0,10.0,1650.0,5.0,0,0,0,0,1,0,0,0,0,0,1
119,13.79,1980.0,,7.7,7.7,457.0,1.8,0,0,0,0,0,0,0,1,0,0,1
120,9.862,2767.0,,12.7,51.314406244737526,737.0,3.1,0,1,0,0,0,0,0,0,0,0,0
121,12.0,4986.0,-0.0297,3.0,3.0,400.0,5.5,0,0,0,0,0,0,1,0,0,0,1
122,6.86,3212.0,,10.8,10.8,820.6,6.5,0,0,0,0,0,0,1,0,0,0,1
123,3.45,3770.0,0.0063,10.3,10.3,762.0,2.0,0,0,0,0,0,0,1,0,0,0,1
124,13.79,3608.0,-0.0424,4.7,4.7,318.0,3.2,0,0,0,0,0,0,1,0,0,0,1
125,6.92,555.0,0.1234,12.7,38.1,737.0,2.1,0,1,0,0,0,0,0,0,0,0,0
126,13.79,2719.0,0.1351,5.6,22.626824800829144,2134.0,1.1,0,0,0,0,0,0,0,0,0,0,0
127,18.96,2685.2,,1.9,1.9,152.0,3.9,0,0,0,0,0,0,1,0,0,0,1
128,13.79,1356.0,0.1131,4.7,4.7,482.8,1.8,0,0,0,0,0,0,1,0,0,0,1
129,5.51,1478.0,0.0235,12.7,42.3,1778.0,3.7,0,1,0,0,0,0,0,0,0,0,0
130,13.79,1356.0,0.0685,7.8,7.8,591.0,2.7,0,0,0,0,0,0,1,0,0,0,1
131,3.45,3838.0,0.0051,10.3,10.3,762.0,4.3,0,0,0,0,0,0,1,0,0,0,1
132,18.27,2197.0,-0.1258,3.0,3.0,150.0,3.2,0,0,0,0,0,0,1,0,0,0,1
133,0.2,5600.0,-0.0373,15.0,120.0,10.0,5.2,0,0,0,0,0,1,0,0,0,1,0
134,18.96,3458.0,-0.1209,1.9,1.9,152.0,6.6,0,0,0,0,0,0,1,0,0,0,1
135,13.79,1354.0,0.0886,8.65351919561243,14.764067574795769,457.0,1.5,0,0,0,0,0,0,0,1,0,0,1
136,13.79,2333.0,0.0335,7.8,7.8,591.0,2.8,0,0,0,0,0,0,1,0,0,0,1
137,13.79,888.0,,7.8,7.8,591.0,2.3,0,0,0,0,0,0,1,0,0,0,1
138,11.03,2672.0,0.0854,11.5,11.5,1524.0,4.4,0,0,0,0,0,0,1,0,0,0,1
139,13.79,2007.0,0.0297,7.7,7.7,457.0,2.8,0,0,0,0,0,0,1,0,0,0,1
140,7.03,4055.0,0.1113,10.8,10.8,864.0,1.4,0,0,0,0,0,0,1,0,0,0,1
141,6.89,549.0,0.0497,12.7,38.1,737.0,2.5,0,1,0,0,0,0,0,0,0,0,0
142,15.17,2685.0,0.0334,9.5,9.5,1836.0,2.5,0,0,0,0,0,0,1,0,0,0,1
143,7.5840000000000005,3933.0,,10.3,10.3,762.0,4.8,0,0,0,0,0,0,1,0,0,0,1
144,8.67,4062.0,0.0487,10.8,10.8,660.6,3.8,0,0,0,0,0,0,1,0,0,0,1
145,13.79,1356.0,-0.2253,7.7,7.7,457.0,3.5,0,0,0,0,0,0,0,1,0,0,1
146,12.07,4028.0,,1.9,1.9,152.0,3.9,0,0,0,0,0,0,1,0,0,0,1
147,13.789999999999997,346.0,0.0404,11.1,11.1,457.0,2.9,0,0,0,0,0,0,0,1,0,0,1
148,13.79,2116.0,,8.65351919561243,14.764067574795769,591.0,2.1,0,0,0,0,0,0,1,0,0,0,1
149,13.79,5588.0,,8.65351919561243,14.764067574795769,318.0,4.6,0,0,0,0,0,0,1,0,0,0,1
150,10.34,7378.0,,10.3,10.3,762.0,9.0,0,0,0,0,0,0,1,0,0,0,1
151,6.89,7432.0,-0.0416,8.65351919561243,14.764067574795769,794.0,5.7,0,0,0,0,0,0,1,0,0,0,1
152,6.79,4096.0,-0.0188,10.8,10.8,432.0,5.5,0,0,0,0,0,0,1,0,0,0,1
153,13.79,1736.0,0.0622,7.8,7.8,1679.4,3.5,0,0,0,0,0,0,1,0,0,0,1
154,12.07,2075.0,-0.074,1.9,1.9,152.0,4.0,0,0,0,0,0,0,1,0,0,0,1
155,8.27,2712.0,,5.6,15.2,2134.0,2.3,0,0,0,0,0,0,0,0,0,0,0
156,0.51,5600.0,-0.0204,15.0,120.0,10.0,7.5,0,0,0,0,0,0,1,0,0,1,0
157,6.89,4503.0,-0.0413,10.3,10.3,794.0,7.7,0,0,0,0,0,0,1,0,0,0,1
158,10.34,4896.0,-0.0663,10.3,10.3,762.0,4.6,0,0,0,0,0,0,1,0,0,0,1
159,17.24,1939.0,0.0406,1.9,1.9,152.0,2.1,0,0,0,0,0,0,1,0,0,0,1
160,18.27,1356.0,-0.1258,3.0,3.0,150.0,1.4,0,0,0,0,0,0,1,0,0,0,1
161,6.89,6144.0,,10.3,10.3,794.0,6.9,0,0,0,0,0,0,1,0,0,0,1
162,12.776,2349.0,-0.0134,8.65351919561243,14.764067574795769,152.0,3.9,0,0,0,0,0,0,1,0,0,0,1
163,10.57,2767.0,0.0101,5.6,5.6,2134.0,4.5,0,0,0,0,0,0,0,0,0,0,1
164,6.89,1031.0,,8.65351919561243,14.764067574795769,432.0,6.6,0,0,0,0,0,0,1,0,0,0,1
165,12.07,3244.2,0.1695,1.9,1.9,152.0,1.9,0,0,0,0,0,0,1,0,0,0,1
166,11.03,2693.0,-0.027,5.6,22.626824800829144,2134.0,0.9,0,0,0,0,0,0,0,0,0,0,0
167,13.79,2523.0,0.2073,4.6,4.6,429.2,2.9,0,0,0,0,0,0,1,0,0,0,1
168,13.79,2672.0,,7.7,7.7,457.0,2.8,0,0,0,0,0,0,1,0,0,0,1
169,13.1,2428.0,-0.0266,1.9,1.9,152.0,4.8,0,0,0,0,0,0,1,0,0,0,1
170,6.89,3852.0,0.0714,23.6,23.6,610.0,2.5,0,0,0,0,0,0,1,0,0,0,1
171,11.02,3052.0,,4.6,11.3,1128.8,3.1,0,1,0,0,0,0,0,0,0,0,0
172,13.79,1326.0,-0.0394,11.1,11.1,457.0,2.1,0,0,0,0,0,0,0,1,0,0,1
173,13.79,2729.0,0.0886,5.6,15.2,2134.0,1.2,0,0,0,0,0,0,0,0,0,0,0
174,13.79,1537.8,-0.0358,8.65351919561243,14.764067574795769,617.0,3.9,0,0,0,0,0,0,1,0,0,0,1
175,7.924000000000001,1533.0,0.0392,11.1,11.1,457.0,2.6,0,0,0,0,0,0,0,1,0,0,1
176,0.2,2000.0,-0.0373,15.0,120.0,10.0,5.0,0,0,0,0,0,1,0,0,0,1,0
177,13.79,2055.0,,7.7,7.7,457.0,5.0,0,0,0,0,0,0,1,0,0,0,1
178,7.0,3513.0,0.1888,5.6,5.6,491.0,3.4,0,0,0,0,0,0,1,0,0,0,1
179,15.51,2197.0,-0.0123,1.9,1.9,152.0,3.2,0,0,0,0,0,0,1,0,0,0,1
180,10.640747282288906,3068.0110229769484,0.1282,9.5,9.5,832.98739073833,1.5,0,0,0,0,0,0,0,0,1,0,1
181,12.41,6239.0,-0.1806,4.7,4.7,318.0,5.8,0,0,0,0,0,0,1,0,0,0,1
182,12.07,3038.0,,1.9,1.9,696.0,3.6,0,0,0,0,0,0,1,0,0,0,1
183,15.17,2685.0,,8.65351919561243,14.764067574795769,1836.0,3.5,0,0,0,0,0,0,0,0,1,0,1
184,11.07,4069.0,0.0588,11.5,11.5,1524.0,6.0,0,0,0,0,0,0,1,0,0,0,1
185,13.79,2021.0,,8.65351919561243,14.764067574795769,867.0,3.9,0,0,0,0,0,0,0,1,0,0,1
186,10.34,3960.0,,10.3,10.3,762.0,5.5,0,0,0,0,0,0,1,0,0,0,1
187,6.89,4757.6,-0.0257,10.3,10.3,762.0,4.6,0,0,0,0,0,0,1,0,0,0,1
188,13.79,1351.0,,7.7,7.7,457.0,2.2,0,0,0,0,0,0,1,0,0,0,1
189,3.86,3992.6,0.0049,10.8,10.8,432.0,4.2,0,0,0,0,0,0,1,0,0,0,1
190,13.79,3974.0,,1.9,1.9,152.0,3.9,0,0,0,0,0,0,1,0,0,0,1
191,18.96,2048.0,-0.0434,1.9,1.9,152.0,1.6,0,0,0,0,0,0,1,0,0,0,1
192,6.226,4096.0,,8.65351919561243,14.764067574795769,432.0,4.4,0,0,0,0,0,0,1,0,0,0,1
193,13.79,1396.0,0.0141,11.1,11.1,457.0,2.5,0,0,0,0,0,0,0,1,0,0,1
194,8.028,3811.0,-0.0698,37.5,37.5,1953.0,6.0,0,0,0,0,0,0,1,0,0,0,1
195,18.96,1939.0,-0.0444,1.9,1.9,696.0,2.2,0,0,0,0,0,0,1,0,0,0,1
196,6.86,4136.0,0.0863,5.6,5.6,432.0,3.8,0,0,0,0,0,0,1,0,0,0,1
197,9.65,2319.0,-0.0158,12.7,38.1,914.0,3.1,0,1,0,0,0,0,0,0,0,0,0
198,17.24,2609.4,-0.0156,1.9,1.9,152.0,3.4,0,0,0,0,0,0,1,0,0,0,1
199,12.0,1000.0,0.0428,8.65351919561243,14.764067574795769,1000.0,3.5,0,0,0,0,0,0,1,0,0,0,1
200,13.79,3648.0,,1.9,1.9,152.0,3.3,0,0,0,0,0,0,1,0,0,0,1
201,13.79,639.0,-0.0001,4.7,4.7,318.0,3.7,0,0,0,0,0,0,1,0,0,0,1
202,13.79,793.0,-0.1239,4.7,4.7,318.0,3.1,0,0,0,0,0,0,1,0,0,0,1
203,13.79,1260.0,,7.8,7.8,591.0,2.0,0,0,0,0,0,0,1,0,0,0,1
204,8.246,4001.0,,8.65351919561243,14.764067574795769,794.0,3.2,0,0,0,0,0,0,1,0,0,0,1
205,13.79,3770.0,0.0335,1.9,1.9,696.0,2.3,0,0,0,0,0,0,1,0,0,0,1
206,6.89,1519.0,,12.7,42.3,1778.0,3.2,0,1,0,0,0,0,0,0,0,0,0
207,6.89,833.0,,12.7,38.1,737.0,4.3,0,1,0,0,0,0,0,0,0,0,0
208,13.79,1344.0,0.1184,11.1,11.1,457.0,2.9,0,0,0,0,0,0,0,1,0,0,1
209,6.93,4042.0,,10.8,10.8,3048.0,4.7,0,0,0,0,0,0,1,0,0,0,1
210,13.79,3933.0,,8.65351919561243,14.764067574795769,696.0,3.2,0,0,0,0,0,0,1,0,0,0,1
211,11.687999999999999,2566.6,,5.6,15.2,2134.0,2.2,0,0,0,0,0,0,0,0,0,0,0
212,13.79,1383.0,-0.1377,7.7,7.7,457.0,4.3,0,0,0,0,0,0,0,1,0,0,1
213,7.14,2823.8,0.1651,10.8,10.8,864.0,3.0,0,0,0,0,0,0,1,0,0,0,1
214,6.89,5221.0,,10.3,10.3,762.0,5.4,0,0,0,0,0,0,1,0,0,0,1
215,11.03,2740.0,,5.6,22.626824800829144,2134.0,1.6,0,0,0,0,0,0,1,0,0,0,0
216,12.686,2740.0,,5.6,15.2,2134.0,2.1,0,0,0,0,0,0,1,0,0,0,0
217,16.0,2875.0,-0.03,10.0,10.0,890.0,5.6,0,0,0,0,1,0,0,0,0,0,1
218,14.0,2200.0,,10.0,10.0,565.0,1.0,0,0,0,0,0,0,1,0,0,0,1
219,13.789999999999997,3389.4,-0.3491,4.7,4.7,318.0,3.8,0,0,0,0,0,0,1,0,0,0,1
220,13.79,926.0,0.1305,7.7,7.7,1110.0,1.6,0,0,0,0,0,0,1,0,0,0,1
221,13.79,2645.0,,7.7,7.7,457.0,1.9,0,0,0,0,0,0,0,1,0,0,1
222,13.789999999999997,3389.4,0.0853,4.7,4.7,318.0,4.3,0,0,0,0,0,0,1,0,0,0,1
223,7.728,4069.0,,11.5,11.5,2007.0,2.4,0,0,0,0,0,0,1,0,0,0,1
224,10.34,7690.0,-0.0417,8.65351919561243,14.764067574795769,762.0,3.1,0,0,0,0,0,0,1,0,0,0,1
225,3.45,3960.0,0.0876,10.3,10.3,762.0,4.3,0,0,0,0,0,0,1,0,0,0,1
226,11.03,1354.0,0.1219,5.6,15.2,1661.4,2.0,0,0,0,0,0,0,0,0,0,0,0
227,0.1,1967.0,,1.0,1.0,25.0,5.7,0,0,0,0,0,0,1,0,0,0,1
228,10.34,4855.0,-0.1339,10.3,10.3,762.0,6.5,0,0,0,0,0,0,1,0,0,0,1
229,6.89,3933.0,0.0887,5.6,5.6,432.0,1.8,0,0,0,0,0,0,1,0,0,0,1
230,6.89,2794.0,-0.0071,6.4,15.9,914.0,3.0,0,1,0,0,0,0,0,0,0,0,0
231,6.89,4842.0,-0.1961,10.3,10.3,1174.2,6.8,0,0,0,0,0,0,1,0,0,0,1
232,13.789999999999997,6144.0,-0.0692,4.7,4.7,318.0,3.8,0,0,0,0,0,0,1,0,0,0,1
233,13.79,2319.0,,8.65351919561243,14.764067574795769,152.0,2.1,0,0,0,0,0,0,1,0,0,0,1
234,5.51,1519.0,0.0487,12.7,42.3,1778.0,2.0,0,0,0,0,0,0,1,0,0,0,0
235,0.1,1277.0,-0.0385,15.0,120.0,449.0,6.6,0,0,1,0,0,0,0,0,0,1,0
236,10.34,6539.8,-0.0322,10.3,10.3,762.0,5.4,0,0,0,0,0,0,1,0,0,0,1
237,13.79,7391.0,,4.7,4.7,318.0,5.0,0,0,0,0,0,0,1,0,0,0,1
238,13.79,3665.0,-0.1046,8.65351919561243,14.764067574795769,2134.0,3.1,0,0,0,0,0,0,0,0,0,0,1
239,3.45,3933.0,0.0051,10.3,10.3,762.0,3.7,0,0,0,0,0,0,1,0,0,0,1
240,13.79,2753.0,,4.7,4.7,318.0,5.0,0,0,0,0,0,0,1,0,0,0,1
241,6.89,1519.0,,12.7,42.3,1778.0,3.4,0,1,0,0,0,0,0,0,0,0,0
242,6.89,7880.0,-0.0264,10.3,10.3,650.4,12.9,0,0,0,0,0,0,1,0,0,0,1
243,15.51,3024.0,-0.0335,8.65351919561243,14.764067574795769,696.0,2.6,0,0,0,0,0,0,1,0,0,0,1
244,11.03,4062.0,0.0588,9.5,9.5,1836.0,2.0,0,0,0,0,0,0,0,0,1,0,1
245,6.89,3513.0,,10.8,10.8,432.0,3.8,0,0,0,0,0,0,1,0,0,0,1
246,13.79,1316.0,-0.0404,5.7,5.7,625.0,3.7,0,0,0,0,0,0,1,0,0,0,1
247,6.284000000000001,3626.4,0.1959,10.8,10.8,432.0,3.7,0,0,0,0,0,0,1,0,0,0,1
248,13.79,2055.0,-0.0404,11.1,11.1,457.0,3.7,0,0,0,0,0,0,0,1,0,0,1
